PROJECT_ID,PROJECT,ROUND,url,Description
0xfb9c6bee53311e7ab8c57cb83859e2fcc28ba679e699a47d2d6c3fa9b8c5cd13,BlockUtils,WEB3 INFRA,,
0xf2ce476bc1f7c6a5388136760a4c565001ff1a556363a43759e1ed00a8018677,DAOstar,WEB3 INFRA,,
0xe826b1a26848a3c370bf02021a95b6acf6786256f31238a1defe323bb50360af,Contract Level,WEB3 INFRA,,
0xf43f0484bcd7afb2089b2e9da87eca40bef717a0d86dd98b696b24c9bc3e7356,TriggerX,WEB3 INFRA,,
0xdc857f3edfc8293b33fed09280ab335ef62a58001f7f899b1d8089b6e49f6ea0,Acadlayer,WEB3 INFRA,,
0x0e0b13f694f97590467a2d91226f5988483002690d6d305e89920ef632bbe9b8,Commit-Boost,WEB3 INFRA,,
0xe955bf7fdaaa527fdb72eeaeab78fd0be4b3acc51778471a0b394b2221fcb8cf,MiniBridge,WEB3 INFRA,,
0xf8eb666a7df2d28609bb67ec2c3646d46c44d8e5f78bc20e01a74e3ea6a6985f,GovGraph,WEB3 INFRA,,
0x3cae7aa84706f7032f4757311bcf2e2c632fc1383e5e0250e6a7ae599e8c2bc0,Circuitscan,WEB3 INFRA,,
0xea9cfd8f69b336eb6a64f6af1de2a27285a681f82b61e172320ad7f1eb63a208,EthPillar: 1-click staking nodes by CoinCashew,WEB3 INFRA,,
0x9d84ffdf1483554511a0fa7d1dda1b2b1fa455fddb4733121a250a6d93a300f3,Ethereum on ARM,WEB3 INFRA,,
0x9abda3e526ac4d553d3cdf057a504a168df921ca78e232b46257b7d106112dbb,ethOS,WEB3 INFRA,,
0x62b3b673127e9511afdb47e7f0ef3f0bbc944ebf8492a88f5ed1ee9a4bfe14f2,Lodestar,WEB3 INFRA,,
0xbe150a42d3908b81d02a0db396bfcfc1eea47a0adfa43ee22eb82f02f46b9231,Militereum,WEB3 INFRA,,
0x516c5de42ab87ace201b76af95626784e60b8f3e5b38517a2fe21f327d78bae8,Monas,WEB3 INFRA,,
0xf97940e6e0db99e0062e1d1cc390d48075445e7d6e7aa77e727b3b24c9e616d5,Resi (Resilient Stable Infrastructure) Protocol,WEB3 INFRA,,
0xcf324fb6eca9c6b44ac7f613f07315bbad9cf4027c16ec150adb7d0a84054583,Vocdoni - Decentralized and anonymous voting,WEB3 INFRA,,
0xcc52492e46dbd2c54cdb936a81a470abfd16bf20f0733a8734a7da9c122cbf2d,Lighthouse by Sigma Prime,WEB3 INFRA,,
0xbfa9f72968bba383dfbc1ec001c53c2cee437edbdf9a85a31439d715ca7a039d,Stakers Union,WEB3 INFRA,,
0xf8e3771e90d1bdb333bd2c23db0feda10e046aa09ffc94ffd89ebcbe8089fb9f,Guardian Account Abstraction,WEB3 INFRA,,
0xbe81c3716fb87ffc8f50493a99df7cded36513388f6cb9f68524a27c6a4b4bf6,Abundance Protocol,WEB3 INFRA,,
0x2b1f7b2f91d848d911c41091d1addffd337b908834ae524e33286fa28e0ca683,MigaLabs,WEB3 INFRA,,
0xb0bb192634474ead9c1f62d59bd41d928bd191e2dc9915209e7cd250560f9710,ONCHAINSUPPLY,WEB3 INFRA,,
0x611f1323118db9846b22e4e29d4706eae6bb84289c4746aff689c91d3d66f6c8,BrightID ðŸ”† Universal Proof of Uniqueness,WEB3 INFRA,,
0xc9131b4bf4b6f915a1905b64e47127c158248e832bf3b0ef7e9eeb0856d284fa,Superchain Eco,WEB3 INFRA,,
0x6c16840b98f808a2d1d3151bd52c06e2e34c92e54724f45ae938b06a37f96bd9,corpus.core colibri stateless client,WEB3 INFRA,,
0x0e2afbdfcda6cd230bb043f5054debcff6b2b5dd214e4892245a73dfcee2e0da,EIPsInsight,WEB3 INFRA,,
0xfa4d3e88b6a3ac110f8a9bc79a0ac63d7cb2fb41884f4f65bb5261892a070953,The Forus,WEB3 INFRA,,
0xc249a45b3027e3e83196ab206e237e8b08d19b3d925cdd5ddb812c66b0aad012,Stereum - Ethereum Node Installer & Manager,WEB3 INFRA,,
